Year,CO2 PPM,Seasonally Adjusted CO2 PPM
1958.2027,315.7,314.41
1958.2877,317.45,315.15
1958.3699,317.5,314.72
1958.4548,-99.99,-99.99
1958.537,315.86,315.14
1958.6219,314.93,316.15
1958.7068,313.2,316.06
1958.789,-99.99,-99.99
1958.874,313.33,315.23
1958.9562,314.67,315.46
1959.0411,315.63,315.61
1959.126,316.38,315.76
1959.2027,316.71,315.42
1959.2877,317.72,315.4
1959.3699,318.29,315.5
1959.4548,318.15,316.02
1959.537,316.54,315.82
1959.6219,314.8,316.02
1959.7068,313.84,316.71
1959.789,313.26,316.27
1959.874,314.8,316.71
1959.9562,315.58,316.38
1960.041,316.43,316.42
1960.1257,316.97,316.36
1960.2049,317.58,316.26
1960.2896,319.02,316.67
1960.3716,320.03,317.23
1960.4563,319.59,317.47
1960.5383,318.18,317.48
1960.623,315.91,317.16
1960.7077,314.16,317.06
1960.7896,313.83,316.85
1960.8743,315,316.91
1960.9563,316.19,316.99
1961.0411,316.93,316.91
1961.126,317.7,317.08
1961.2027,318.54,317.24
1961.2877,319.48,317.15
1961.3699,320.58,317.77
1961.4548,319.77,317.63
1961.537,318.57,317.84
1961.6219,316.79,318.02
1961.7068,314.8,317.7
1961.789,315.38,318.41
1961.874,316.1,318.02
1961.9562,317.01,317.82
1962.0411,317.94,317.93
1962.126,318.55,317.93
1962.2027,319.68,318.37
1962.2877,320.63,318.29
1962.3699,321.01,318.2
1962.4548,320.55,318.39
1962.537,319.57,318.84
1962.6219,317.4,318.63
1962.7068,316.25,319.16
1962.789,315.42,318.46
1962.874,316.69,318.62
1962.9562,317.7,318.5
1963.0411,318.74,318.73
1963.126,319.07,318.45
1963.2027,319.86,318.55
1963.2877,321.39,319.04
1963.3699,322.25,319.42
1963.4548,321.48,319.31
1963.537,319.74,319.01
1963.6219,317.77,319.01
1963.7068,316.21,319.13
1963.789,315.99,319.04
1963.874,317.12,319.06
1963.9562,318.31,319.12
1964.041,319.57,319.56
1964.1257,-99.99,-99.99
1964.2049,-99.99,-99.99
1964.2896,-99.99,-99.99
1964.3716,322.25,319.41
1964.4563,321.89,319.74
1964.5383,320.44,319.73
1964.623,318.7,319.97
1964.7077,316.7,319.64
1964.7896,316.79,319.85
1964.8743,317.79,319.73
1964.9563,318.71,319.52
1965.0411,319.44,319.43
1965.126,320.44,319.81
1965.2027,320.89,319.57
1965.2877,322.14,319.77
1965.3699,322.16,319.32
1965.4548,321.87,319.7
1965.537,321.39,320.65
1965.6219,318.8,320.05
1965.7068,317.81,320.75
1965.789,317.3,320.37
1965.874,318.86,320.81
1965.9562,319.42,320.23
1966.0411,320.62,320.61
1966.126,321.59,320.96
1966.2027,322.39,321.07
1966.2877,323.87,321.5
1966.3699,324.01,321.15
1966.4548,323.75,321.57
1966.537,322.39,321.65
1966.6219,320.36,321.62
1966.7068,318.64,321.58
1966.789,318.1,321.18
1966.874,319.78,321.74
1966.9562,321.08,321.9
1967.0411,322.06,322.05
1967.126,322.5,321.86
1967.2027,323.04,321.71
1967.2877,324.42,322.04
1967.3699,325,322.13
1967.4548,324.09,321.9
1967.537,322.55,321.8
1967.6219,320.92,322.17
1967.7068,319.31,322.27
1967.789,319.31,322.4
1967.874,320.72,322.68
1967.9562,321.96,322.78
1968.041,322.57,322.56
1968.1257,323.15,322.51
1968.2049,323.89,322.53
1968.2896,325.02,322.62
1968.3716,325.57,322.69
1968.4563,325.36,323.18
1968.5383,324.14,323.42
1968.623,322.03,323.32
1968.7077,320.41,323.39
1968.7896,320.25,323.35
1968.8743,321.31,323.27
1968.9563,322.84,323.67
1969.0411,324,323.99
1969.126,324.42,323.78
1969.2027,325.64,324.3
1969.2877,326.66,324.27
1969.3699,327.34,324.46
1969.4548,326.76,324.56
1969.537,325.88,325.13
1969.6219,323.67,324.93
1969.7068,322.38,325.36
1969.789,321.78,324.89
1969.874,322.85,324.83
1969.9562,324.11,324.94
1970.0411,325.03,325.02
1970.126,325.99,325.35
1970.2027,326.87,325.53
1970.2877,328.14,325.73
1970.3699,328.07,325.18
1970.4548,327.66,325.45
1970.537,326.35,325.59
1970.6219,324.69,325.95
1970.7068,323.1,326.08
1970.789,323.16,326.29
1970.874,323.98,325.96
1970.9562,325.13,325.96
1971.0411,326.17,326.16
1971.126,326.68,326.04
1971.2027,327.18,325.83
1971.2877,327.79,325.38
1971.3699,328.92,326.02
1971.4548,328.57,326.35
1971.537,327.34,326.58
1971.6219,325.46,326.73
1971.7068,323.36,326.36
1971.789,323.57,326.7
1971.874,324.8,326.78
1971.9562,326.01,326.85
1972.041,326.77,326.76
1972.1257,327.63,326.99
1972.2049,327.75,326.38
1972.2896,329.72,327.29
1972.3716,330.07,327.16
1972.4563,329.09,326.88
1972.5383,328.05,327.32
1972.623,326.32,327.62
1972.7077,324.93,327.95
1972.7896,325.06,328.2
1972.8743,326.5,328.49
1972.9563,327.55,328.39
1973.0411,328.55,328.53
1973.126,329.56,328.91
1973.2027,330.3,328.95
1973.2877,331.5,329.08
1973.3699,332.48,329.55
1973.4548,332.07,329.84
1973.537,330.87,330.11
1973.6219,329.31,330.59
1973.7068,327.51,330.53
1973.789,327.18,330.34
1973.874,328.16,330.16
1973.9562,328.64,329.48
1974.0411,329.35,329.34
1974.126,330.71,330.06
1974.2027,331.48,330.12
1974.2877,332.65,330.22
1974.3699,333.09,330.15
1974.4548,332.25,330.01
1974.537,331.18,330.42
1974.6219,329.4,330.68
1974.7068,327.43,330.46
1974.789,327.37,330.54
1974.874,328.46,330.46
1974.9562,329.57,330.41
1975.0411,330.4,330.39
1975.126,331.41,330.75
1975.2027,332.04,330.68
1975.2877,333.31,330.87
1975.3699,333.97,331.02
1975.4548,333.6,331.35
1975.537,331.91,331.14
1975.6219,330.06,331.35
1975.7068,328.56,331.59
1975.789,328.34,331.52
1975.874,329.49,331.5
1975.9562,330.76,331.61
1976.041,331.75,331.73
1976.1257,332.56,331.91
1976.2049,333.5,332.1
1976.2896,334.58,332.11
1976.3716,334.87,331.92
1976.4563,334.34,332.1
1976.5383,333.05,332.31
1976.623,330.94,332.26
1976.7077,329.3,332.36
1976.7896,328.94,332.12
1976.8743,330.31,332.32
1976.9563,331.68,332.53
1977.0411,332.93,332.91
1977.126,333.42,332.76
1977.2027,334.7,333.33
1977.2877,336.07,333.61
1977.3699,336.75,333.78
1977.4548,336.27,334
1977.537,334.92,334.16
1977.6219,332.75,334.05
1977.7068,331.59,334.64
1977.789,331.16,334.36
1977.874,332.4,334.43
1977.9562,333.85,334.7
1978.0411,334.97,334.96
1978.126,335.39,334.73
1978.2027,336.64,335.27
1978.2877,337.76,335.29
1978.3699,338.01,335.04
1978.4548,337.89,335.62
1978.537,336.54,335.77
1978.6219,334.68,335.98
1978.7068,332.76,335.83
1978.789,332.55,335.75
1978.874,333.92,335.95
1978.9562,334.95,335.8
1979.0411,336.23,336.21
1979.126,336.76,336.1
1979.2027,337.96,336.58
1979.2877,338.89,336.41
1979.3699,339.47,336.49
1979.4548,339.29,337.01
1979.537,337.73,336.96
1979.6219,336.09,337.39
1979.7068,333.91,336.99
1979.789,333.86,337.08
1979.874,335.29,337.33
1979.9562,336.73,337.58
1980.041,338.01,338
1980.1257,338.36,337.7
1980.2049,340.08,338.67
1980.2896,340.77,338.26
1980.3716,341.46,338.47
1980.4563,341.17,338.9
1980.5383,339.56,338.81
1980.623,337.6,338.94
1980.7077,335.88,338.98
1980.7896,336.02,339.24
1980.8743,337.1,339.14
1980.9563,338.21,339.07
1981.0411,339.24,339.22
1981.126,340.48,339.81
1981.2027,341.38,339.99
1981.2877,342.51,340.02
1981.3699,342.91,339.91
1981.4548,342.25,339.95
1981.537,340.49,339.71
1981.6219,338.43,339.75
1981.7068,336.69,339.79
1981.789,336.86,340.09
1981.874,338.36,340.41
1981.9562,339.61,340.47
1982.0411,340.75,340.74
1982.126,341.61,340.95
1982.2027,342.7,341.31
1982.2877,343.57,341.07
1982.3699,344.14,341.13
1982.4548,343.35,341.05
1982.537,342.06,341.28
1982.6219,339.81,341.13
1982.7068,337.98,341.08
1982.789,337.86,341.11
1982.874,339.26,341.32
1982.9562,340.49,341.35
1983.0411,341.37,341.36
1983.126,342.52,341.85
1983.2027,343.1,341.7
1983.2877,344.94,342.44
1983.3699,345.76,342.74
1983.4548,345.32,343.01
1983.537,343.98,343.2
1983.6219,342.38,343.71
1983.7068,339.86,342.98
1983.789,339.99,343.25
1983.874,341.15,343.22
1983.9562,342.99,343.86
1984.041,343.7,343.68
1984.1257,344.5,343.84
1984.2049,345.28,343.85
1984.2896,347.07,344.53
1984.3716,347.43,344.4
1984.4563,346.79,344.5
1984.5383,345.39,344.64
1984.623,343.28,344.63
1984.7077,341.07,344.21
1984.7896,341.35,344.61
1984.8743,342.98,345.04
1984.9563,344.22,345.09
1985.0411,344.97,344.96
1985.126,345.99,345.32
1985.2027,347.43,346.02
1985.2877,348.35,345.83
1985.3699,348.93,345.89
1985.4548,348.25,345.93
1985.537,346.56,345.77
1985.6219,344.68,346.01
1985.7068,343.09,346.22
1985.789,342.8,346.08
1985.874,344.24,346.32
1985.9562,345.55,346.43
1986.0411,346.3,346.28
1986.126,346.95,346.28
1986.2027,347.85,346.44
1986.2877,349.55,347.02
1986.3699,350.21,347.16
1986.4548,349.55,347.22
1986.537,347.94,347.15
1986.6219,345.9,347.24
1986.7068,344.85,348
1986.789,344.17,347.46
1986.874,345.66,347.74
1986.9562,346.9,347.77
1987.0411,348.02,348.01
1987.126,348.47,347.8
1987.2027,349.42,348
1987.2877,350.99,348.45
1987.3699,351.84,348.79
1987.4548,351.25,348.92
1987.537,349.51,348.72
1987.6219,348.1,349.44
1987.7068,346.45,349.6
1987.789,346.36,349.66
1987.874,347.81,349.9
1987.9562,348.96,349.84
1988.041,350.43,350.42
1988.1257,351.73,351.05
1988.2049,352.22,350.77
1988.2896,353.59,351.02
1988.3716,354.22,351.15
1988.4563,353.79,351.47
1988.5383,352.38,351.61
1988.623,350.43,351.8
1988.7077,348.72,351.9
1988.7896,348.88,352.19
1988.8743,350.07,352.16
1988.9563,351.34,352.22
1989.0411,352.76,352.74
1989.126,353.07,352.39
1989.2027,353.68,352.26
1989.2877,355.42,352.87
1989.3699,355.67,352.59
1989.4548,355.12,352.77
1989.537,353.9,353.1
1989.6219,351.67,353.02
1989.7068,349.8,352.98
1989.789,349.99,353.31
1989.874,351.29,353.4
1989.9562,352.52,353.41
1990.0411,353.66,353.65
1990.126,354.7,354.02
1990.2027,355.39,353.96
1990.2877,356.2,353.64
1990.3699,357.16,354.07
1990.4548,356.23,353.87
1990.537,354.81,354.01
1990.6219,352.91,354.26
1990.7068,350.96,354.15
1990.789,351.18,354.51
1990.874,352.83,354.94
1990.9562,354.21,355.1
1991.0411,354.72,354.71
1991.126,355.75,355.06
1991.2027,357.16,355.73
1991.2877,358.6,356.03
1991.3699,359.34,356.24
1991.4548,358.24,355.87
1991.537,356.17,355.37
1991.6219,354.02,355.38
1991.7068,352.15,355.35
1991.789,352.21,355.55
1991.874,353.75,355.86
1991.9562,354.99,355.88
1992.041,355.98,355.97
1992.1257,356.72,356.04
1992.2049,357.81,356.35
1992.2896,359.15,356.55
1992.3716,359.66,356.55
1992.4563,359.25,356.9
1992.5383,357.02,356.25
1992.623,355,356.39
1992.7077,353.01,356.22
1992.7896,353.31,356.66
1992.8743,354.16,356.28
1992.9563,355.4,356.29
1993.0411,356.7,356.69
1993.126,357.16,356.47
1993.2027,358.38,356.93
1993.2877,359.46,356.88
1993.3699,360.28,357.16
1993.4548,359.6,357.21
1993.537,357.57,356.76
1993.6219,355.52,356.88
1993.7068,353.69,356.91
1993.789,353.99,357.35
1993.874,355.34,357.47
1993.9562,356.8,357.69
1994.0411,358.37,358.35
1994.126,358.91,358.22
1994.2027,359.97,358.52
1994.2877,361.26,358.67
1994.3699,361.68,358.56
1994.4548,360.94,358.56
1994.537,359.55,358.74
1994.6219,357.48,358.85
1994.7068,355.84,359.07
1994.789,355.99,359.37
1994.874,357.58,359.72
1994.9562,359.04,359.93
1995.0411,359.97,359.95
1995.126,361,360.31
1995.2027,361.64,360.19
1995.2877,363.45,360.85
1995.3699,363.79,360.66
1995.4548,363.26,360.87
1995.537,361.9,361.08
1995.6219,359.46,360.83
1995.7068,358.06,361.29
1995.789,357.76,361.14
1995.874,359.56,361.71
1995.9562,360.7,361.6
1996.041,362.05,362.03
1996.1257,363.24,362.55
1996.2049,364.02,362.54
1996.2896,364.72,362.08
1996.3716,365.41,362.27
1996.4563,364.97,362.59
1996.5383,363.65,362.86
1996.623,361.48,362.89
1996.7077,359.45,362.71
1996.7896,359.6,362.99
1996.8743,360.76,362.9
1996.9563,362.33,363.23
1997.0411,363.18,363.17
1997.126,364,363.3
1997.2027,364.56,363.1
1997.2877,366.35,363.74
1997.3699,366.8,363.64
1997.4548,365.62,363.21
1997.537,364.47,363.65
1997.6219,362.5,363.88
1997.7068,360.19,363.44
1997.789,360.77,364.18
1997.874,362.43,364.59
1997.9562,364.28,365.18
1998.0411,365.33,365.31
1998.126,366.15,365.45
1998.2027,367.31,365.85
1998.2877,368.61,365.99
1998.3699,369.3,366.13
1998.4548,368.87,366.46
1998.537,367.64,366.82
1998.6219,365.78,367.16
1998.7068,363.9,367.17
1998.789,364.23,367.65
1998.874,365.46,367.62
1998.9562,366.97,367.87
1999.0411,368.15,368.14
1999.126,368.87,368.17
1999.2027,369.59,368.12
1999.2877,371.14,368.51
1999.3699,371,367.82
1999.4548,370.35,367.92
1999.537,369.27,368.44
1999.6219,366.93,368.32
1999.7068,364.64,367.91
1999.789,365.13,368.55
1999.874,366.67,368.85
1999.9562,368.01,368.91
2000.041,369.14,369.12
2000.1257,369.46,368.76
2000.2049,370.51,369.01
2000.2896,371.66,369
2000.3716,371.82,368.64
2000.4563,371.7,369.29
2000.5383,370.12,369.32
2000.623,368.12,369.54
2000.7077,366.62,369.92
2000.7896,366.73,370.16
2000.8743,368.29,370.46
2000.9563,369.53,370.44
2001.0411,370.28,370.27
2001.126,371.5,370.79
2001.2027,372.12,370.64
2001.2877,372.87,370.22
2001.3699,374.02,370.82
2001.4548,373.3,370.86
2001.537,371.62,370.79
2001.6219,369.55,370.95
2001.7068,367.96,371.25
2001.789,368.1,371.54
2001.874,369.68,371.86
2001.9562,371.24,372.15
2002.0411,372.43,372.42
2002.126,373.08,372.38
2002.2027,373.52,372.04
2002.2877,374.86,372.2
2002.3699,375.55,372.35
2002.4548,375.4,372.96
2002.537,374.02,373.19
2002.6219,371.49,372.89
2002.7068,370.7,374.01
2002.789,370.25,373.7
2002.874,372.08,374.27
2002.9562,373.78,374.7
2003.0411,374.68,374.67
2003.126,375.62,374.91
2003.2027,376.11,374.62
2003.2877,377.65,374.99
2003.3699,378.35,375.14
2003.4548,378.13,375.67
2003.537,376.61,375.77
2003.6219,374.48,375.89
2003.7068,372.98,376.29
2003.789,373,376.47
2003.874,374.34,376.54
2003.9562,375.69,376.61
2004.041,376.79,376.77
2004.1257,377.36,376.65
2004.2049,378.4,376.88
2004.2896,380.5,377.81
2004.3716,380.61,377.39
2004.4563,379.55,377.11
2004.5383,377.77,376.96
2004.623,375.84,377.28
2004.7077,374.05,377.38
2004.7896,374.22,377.69
2004.8743,375.84,378.04
2004.9563,377.44,378.37
2005.0411,378.34,378.32
2005.126,379.66,378.95
2005.2027,380.38,378.88
2005.2877,382.06,379.38
2005.3699,382.25,379.02
2005.4548,382.08,379.61
2005.537,380.65,379.81
2005.6219,378.68,380.09
2005.7068,376.43,379.77
2005.789,376.82,380.31
2005.874,378.32,380.52
2005.9562,379.96,380.89
2006.0411,381.36,381.35
2006.126,382.02,381.3
2006.2027,382.56,381.07
2006.2877,384.37,381.68
2006.3699,384.93,381.68
2006.4548,384.03,381.55
2006.537,382.28,381.44
2006.6219,380.51,381.92
2006.7068,378.82,382.16
2006.789,379.07,382.56
2006.874,380.16,382.37
2006.9562,381.62,382.55
2007.0411,382.49,382.47
2007.126,383.7,382.98
2007.2027,384.34,382.83
2007.2877,386.26,383.56
2007.3699,386.42,383.17
2007.4548,385.87,383.39
2007.537,384.43,383.59
2007.6219,381.84,383.26
2007.7068,380.87,384.23
2007.789,380.87,384.37
2007.874,382.36,384.58
2007.9562,383.61,384.54
2008.041,385.07,385.06
2008.1257,385.85,385.13
2008.2049,385.84,384.3
2008.2896,386.77,384.04
2008.3716,388.51,385.26
2008.4563,388.05,385.58
2008.5383,386.27,385.45
2008.623,384.08,385.54
2008.7077,383.09,386.46
2008.7896,382.78,386.3
2008.8743,384.02,386.24
2008.9563,385.12,386.05
2009.0411,386.66,386.64
2009.126,387.13,386.41
2009.2027,388.52,387.01
2009.2877,389.57,386.86
2009.3699,390.16,386.89
2009.4548,389.62,387.12
2009.537,388.07,387.22
2009.6219,386.09,387.52
2009.7068,384.66,388.03
2009.789,384.34,387.87
2009.874,386.05,388.29
2009.9562,387.49,388.42
2010.0411,388.55,388.54
2010.126,390.06,389.33
2010.2027,391.02,389.5
2010.2877,392.39,389.67
2010.3699,393.23,389.95
2010.4548,392.24,389.73
2010.537,390.33,389.48
2010.6219,388.52,389.96
2010.7068,386.84,390.23
2010.789,387.17,390.71
2010.874,388.67,390.91
2010.9562,389.81,390.75
2011.0411,391.3,391.28
2011.126,391.93,391.2
2011.2027,392.45,390.93
2011.2877,393.37,390.65
2011.3699,394.29,391
2011.4548,393.69,391.18
2011.537,392.59,391.74
2011.6219,390.21,391.65
2011.7068,389,392.4
2011.789,388.93,392.48
2011.874,390.25,392.5
2011.9562,391.8,392.74
2012.041,393.07,393.06
2012.1257,393.34,392.62
2012.2049,394.36,392.81
2012.2896,396.44,393.68
2012.3716,396.87,393.57
2012.4563,395.88,393.38
2012.5383,394.52,393.7
2012.623,392.54,394.02
2012.7077,391.14,394.55
2012.7896,391.02,394.58
2012.8743,392.99,395.24
2012.9563,394.39,395.33
2013.0411,395.66,395.64
2013.126,396.89,396.16
2013.2027,397.27,395.74
2013.2877,398.36,395.61
2013.3699,399.9,396.59
2013.4548,398.78,396.25
2013.537,397.28,396.42
2013.6219,395.32,396.77
2013.7068,393.31,396.72
2013.789,393.61,397.18
2013.874,395.1,397.36
2013.9562,396.73,397.68
2014.0411,397.83,397.82
2014.126,398.02,397.28
2014.2027,399.47,397.93
2014.2877,401.33,398.58
2014.3699,401.88,398.56
